HoCoNum,HoCoName,ProvName,DBAName,StateFIPS,Pop_Served
190002,101Netlink,101 Netlink,101 Netlink,06,116142
900900,"1 Touch Technology Solutions, LLC","1 Touch Technology Solutions, LLC","1 Touch Technology Solutions, LLC",39,6804
900465,"2125 Cable Company, LLC","2125 Cable Company, LLC","Sunrise Communications, LLC",26,9893
900027,"24-7 Telcom, Inc.","24-7 Telcom, Inc.","24-7 Telcom, Inc.",55,33665
130002,"3 Rivers Telephone Cooperative, Inc.","3 Rivers Telephone Cooperative, Inc.","3 Rivers Telephone Cooperative, Inc.",30,33682
190501,4 SIWI LLC,"4SIWI, LLC","4SIWI, LLC",17,67944
902058,5G Mesh,5G Mesh,5G Mesh,39,34834
900902,"A Better Wireless, NISP, LLC",A Better Wireless,A Better Wireless,27,4754
900748,"Above All Communications, LLC","Above All Communications, LLC",Express Internet,32,6284
900427,AboveNet Communications Inc.,AboveNet Communications Inc.,AboveNet,44,79
130079,ABRY Partners,Atlantic Broadband,Atlantic Broadband,45,128141
130079,ABRY Partners,"Atlantic Broadband (Delmar), LLC",Atlantic Broadband LLC,10,65535
130079,ABRY Partners,"Atlantic Broadband, LLC","Atlantic Broadband, LLC",12,183842
130079,ABRY Partners,"Atlantic Broadband (Penn), LLC",Atlantic Broadband,24,136989
130079,ABRY Partners,"Atlantic Broadband (Penn), LLC",Atlantic Broadband,36,9938
130079,ABRY Partners,"Atlantic Broadband (Penn), LLC",Atlantic Broadband,42,399324
130079,ABRY Partners,"RCN Telecom Services, Inc.",RCN and RCN Business Services,42,533474
130079,ABRY Partners,"RCN Telecom Services of Illinois, Inc.",RCN and RCN Business Solutions,17,521013
130079,ABRY Partners,"RCN Telecom Services of New York, LP",RCN-RCN Business Solutions,36,1059711
130079,ABRY Partners,"RCN Telecom Services of Philadelphia, Inc.",RCN and RCN Business Services,42,227408
130079,ABRY Partners,"Starpower Commnications, LLC",RCN and RCN Business Solutions,24,197767
130079,ABRY Partners,"STARPOWER COUMMUNICATIONS, LLC",RCN TELECOM SERVICES LLC,51,15396
130079,ABRY Partners,Starpower-RCN,RCN and RCN Business Solutions,11,391066
